,0,1
0,1.2,13.6
1,5.8,12.2
2,1.4,11.0
3,0.0,11.4
4,0.2,14.8
5,0.0,17.2
6,0.0,19.2
7,0.0,20.2
8,0.0,19.6
9,0.0,19.9
10,0.0,21.5
11,0.0,15.4
12,0.0,17.4
13,0.0,17.5
14,0.0,18.6
15,0.0,18.6
16,0.0,20.4
17,0.0,18.6
18,1.0,16.4
19,14.4,12.8
20,14.6,12.6
21,0.0,14.2
22,0.0,15.4
23,1.6,15.0
24,0.0,12.6
25,0.0,14.7
26,0.0,17.8
27,0.0,17.5
28,0.0,19.6
29,0.0,19.7
30,0.0,20.4
31,0.0,21.5
32,0.0,20.7
33,0.0,19.4
34,0.0,20.0
35,0.0,20.5
36,0.0,23.2
37,0.0,22.8
38,0.0,23.0
39,0.0,24.8
40,0.0,24.2
41,0.0,24.5
42,0.0,22.6
43,0.0,19.4
44,0.0,19.2
45,0.0,18.8
46,0.0,18.2
47,0.0,18.4
48,0.0,19.2
49,3.6,17.8
50,0.2,16.3
51,0.0,15.2
52,0.0,14.1
53,0.0,16.2
54,0.0,16.0
55,0.0,15.8
56,0.0,16.8
57,0.0,17.8
58,0.0,19.2
59,0.0,19.6
