,0
539,17.77
540,16.11
541,18.16
542,19.01
543,17.07
544,17.7
545,19.99
546,18.99
547,18.88
548,17.65
549,15.12
550,15.59
551,18.57
552,17.57
553,18.86
554,15.18
555,17.56
556,18.3688
557,19.05
558,18.94
559,19.37
560,18.38
561,20.01
562,19.33
563,18.06
564,15.49
565,19.4
566,17.4
567,16.93
568,17.93
569,19.46
570,19.7
571,19.36
572,16.99
573,17.44
574,17.59
575,17.2
576,18.98
577,18.56
578,19.17
579,17.79
580,19.36
581,20.04
582,19.17
583,16.87
584,18.57
585,15.49
586,18.79
587,15.58
588,17.32
589,18.84
590,19.31
591,17.25
592,17.11
593,18.04
594,18.08
595,16.52
596,19.0
597,19.75
598,17.83
599,20.03
600,13.5
601,18.31
602,18.58
603,21.87
604,17.32
605,18.3026
606,18.47
607,20.25
608,17.3
609,17.62
610,18.02
611,17.21
612,18.55
613,18.45
614,16.85
615,15.97
616,18.26
617,15.26
618,18.29
619,18.64
620,16.23
621,14.82
622,17.59
623,17.55
624,18.81
625,17.16
626,17.65
627,18.86
628,19.23
629,18.5
630,17.28
631,16.62
632,18.75
633,19.57
634,18.69
635,18.03
636,16.95
637,17.49
638,17.33
639,13.92
640,16.45
641,16.57
642,18.2
643,20.94
645,18.06
646,17.46
647,15.17
648,19.01
649,17.4864
651,18.86
652,19.16
654,17.46
655,17.94
656,18.03
657,18.74
658,18.33
659,19.41
660,16.52
661,16.96
662,17.05
664,17.84
665,18.75
666,18.38
667,18.18
669,16.33
670,18.11
671,18.35
672,17.22
674,17.9434
675,17.13
676,16.21
677,18.42
678,17.79
679,19.44
680,15.93
681,16.58
682,16.54
683,14.03
684,17.4
685,17.19
687,16.6
688,15.91
689,18.32
690,17.42
691,15.87
692,21.87
693,15.8
694,18.22
695,19.0
696,20.59
697,14.82
698,19.19
699,15.9
700,17.77
701,16.2
702,15.84
703,15.56
704,16.03
705,19.59
706,19.3
707,16.75
708,18.73
709,17.58
710,18.72
711,18.11
712,16.92
713,18.08
714,16.12
715,16.82
716,14.49
717,18.67
718,17.54
719,17.24
720,16.74
721,17.61
722,18.89
723,19.0
724,19.12
725,17.05
726,19.09
727,17.18
728,17.99
729,17.97
730,17.63
731,17.25
732,17.54
733,19.61
734,19.39
735,19.02
736,18.97
737,17.5153
738,20.37
739,17.82
740,19.28
741,18.98
742,18.25
743,18.81
744,18.08
745,18.14
746,18.46
747,17.58
748,18.64
749,17.02
751,16.13
752,18.56
753,18.42
754,19.6
755,17.15
756,18.04
757,17.74
758,17.44
759,18.33
760,16.72
761,23.46
762,17.55
763,18.26
764,15.55
765,20.1
766,17.6
767,21.23
768,18.37
769,17.62
770,19.95
771,18.69
772,19.29
773,20.03
774,19.55
775,19.52
776,19.54
777,19.39
778,18.0
779,19.0
780,16.35
781,17.01
782,17.33
783,18.72
784,17.23
785,16.22
786,17.63
787,18.99
788,17.74
789,18.97
790,18.27
791,18.28
792,19.13
793,15.49
794,17.68
795,15.87
796,17.62
797,17.85
798,16.83
799,17.42
800,19.06
801,18.35
802,18.47
803,18.02
804,18.11
805,18.96
806,18.42
807,15.93
808,16.64
809,19.6
810,20.62
811,18.27
812,18.108
813,17.46
814,16.04
815,18.29
817,18.58
818,18.57
819,19.97
820,17.36
821,19.03
822,19.35
823,18.63
824,19.5
825,17.67
826,19.32
827,19.16
828,18.16
829,16.23
830,17.89
831,16.14
833,16.29
834,16.82
835,17.81
836,19.44
837,18.59
838,18.28
839,17.52
840,17.34
842,20.01
843,19.35
844,20.76
845,17.98
846,19.36
847,18.74
848,19.36
849,17.47
851,16.56
852,17.77
853,18.15
854,18.43
855,19.77
856,20.37
857,18.3
858,18.94
859,19.5
860,19.23
861,21.16
862,18.88
863,19.28
864,17.55
865,18.82
866,20.05
867,19.9
868,17.62
869,17.82
870,21.12
871,17.04
872,19.5
873,19.84
874,19.33
875,19.8
876,19.85
877,16.15
878,19.4
879,17.85
880,18.3788
881,16.76
882,17.92
883,18.71
885,20.71
886,19.3
887,19.87
888,19.05
889,20.18
890,17.55
892,18.95
893,16.47
894,17.81
895,19.2
896,19.91
897,19.09
898,16.34
899,17.78
900,19.52
901,19.99
902,18.34
903,17.89
904,18.93
905,20.81
906,21.24
907,18.88
908,20.21
909,15.9
910,15.31
911,18.52
912,20.31
913,18.87
914,18.39
915,15.4
916,17.71
917,19.47
918,19.61
919,18.39
920,19.11
921,18.78
923,18.86
924,19.18
925,18.87
927,17.93
928,19.38
929,22.0
930,18.94
931,18.54
932,20.13
933,17.0
934,18.01
935,18.35
936,18.06
937,20.74
938,18.74
939,18.42
940,17.96
941,19.8
943,20.56
944,18.92
945,18.43
947,17.43
948,19.61
949,19.46
950,20.2
951,19.94
952,19.51
953,17.08
954,18.83
955,18.6956
956,20.33
957,18.95
959,19.36
960,21.3
961,17.06
962,20.25
963,19.55
964,15.8
965,17.73
966,20.34
968,20.32
970,19.91
971,18.45
972,18.65
974,15.69
975,20.31
976,18.3
977,18.89
978,18.54
980,16.26
981,18.31
982,18.88
983,19.77
984,17.83
985,18.04
986,19.41
987,17.48
988,17.34
989,18.18
991,19.0
992,16.73
993,18.83
994,16.75
995,19.91
996,19.14
997,18.28
998,19.51
999,19.14
1001,19.01
1002,19.49
1003,18.59
1004,19.6
1005,18.7
1006,17.58
1007,18.29
1008,18.8
1009,18.91
1010,18.78
1011,18.95
1012,17.49
1013,18.91
1014,18.5
1015,18.5283
1016,18.68
1017,18.17
1018,18.29
1019,20.83
1020,19.53
1021,21.42
1022,17.38
1026,18.37
1028,17.12
1029,16.03
1030,17.33
1031,18.56
1032,18.53
1033,19.68
1034,16.97
1035,18.55
1036,19.35
1037,19.33
1038,19.88
1039,19.54
1040,20.75
1041,19.15
1042,20.56
1044,18.99
1045,17.82
1046,16.32
1047,16.59
1048,17.36
1049,17.11
1050,19.41
1052,18.83
1053,18.39
1054,16.2
1055,20.42
1056,17.16
1057,17.53
1058,17.13
1059,18.34
1060,19.36
1062,18.66
1063,18.18
1064,19.79
1065,18.66
1066,20.43
1067,21.0
1068,19.76
1069,17.06
1070,18.63
1071,20.78
1072,17.8
1073,22.31
1074,18.02
1075,19.08
1076,18.39
1077,20.42
1078,18.46
1079,20.13
1080,19.77
1081,21.42
1082,19.38
1083,19.86
1084,21.38
1085,19.86
1086,18.19
1087,19.44
1088,17.4
1089,18.6664
1090,17.73
1091,19.95
1092,21.73
1093,19.84
1094,20.3
1095,19.56
1096,18.05
1097,20.55
1099,19.5
1100,19.17
1101,18.82
1102,17.55
1103,18.25
1104,19.88
1105,20.69
1107,19.73
1108,20.6
1111,20.61
1112,18.52
1113,18.54
1115,18.74
1116,19.01
1117,21.19
1118,18.8
1119,19.59
1120,20.36
1121,19.17
1122,19.52
1124,18.11
1125,21.53
1126,21.54
1128,19.34
1129,19.39
1130,19.38
1131,17.51
1132,18.15
1133,18.92
1134,19.8
1135,20.24
1136,18.88
1137,18.3
1138,20.67
1139,17.96
1140,18.49
1141,20.46
1142,18.07
1143,17.64
1144,19.17
1145,18.42
1146,19.67
1147,19.73
1148,21.27
1149,19.47
1150,18.82
1151,21.0
1152,19.66
1153,20.1
1154,22.39
1155,18.63
1156,19.68
1157,22.32
1158,20.61
1159,19.26
1160,21.09
1161,20.71
1162,19.49
1163,20.66
1164,18.19
1165,20.52
1166,19.89
1167,18.28
1168,20.09
1169,16.86
1171,20.62
1172,20.78
1173,19.1
1174,19.5129
1175,22.08
1176,19.39
1177,19.69
1178,18.62
1179,17.7
1180,18.2
1181,19.97
1182,18.91
1184,19.69
1185,18.95
1186,17.17
1187,19.85
1188,18.47
1189,17.46
1190,18.96
1191,20.42
1192,17.81
1193,17.84
1194,19.9
1196,19.64
1197,20.83
1199,20.31
1200,18.82
1201,18.71
1202,17.85
1203,17.37
1204,16.94
1205,20.5
1206,19.87
1207,20.05
1208,18.5
1209,17.0
1210,19.25
1211,17.9
1212,17.84
1213,20.2
1214,21.1
1215,22.4
1216,16.43
1217,17.51
1218,17.16
1219,19.51
1220,19.7
1221,19.18
1222,18.47
1223,18.53
1224,19.57
1226,20.17
1227,19.29
1228,20.75
1229,19.42
1230,20.93
1231,19.57
1232,15.75
1233,20.12
1234,20.89
1235,19.01
1236,19.68
1237,19.95
1238,20.88
1239,19.03
1240,19.31
1241,20.25
1242,20.21
1243,18.05
1244,19.28
1245,17.33
1246,18.39
1247,18.15
1248,20.26
1251,18.9563
1252,20.06
1253,19.06
1255,16.38
1256,18.78
1257,21.73
1258,20.3
1259,20.15
1261,14.89
1262,18.33
1264,19.77
1265,20.34
1266,18.95
1267,19.39
1268,18.99
1269,19.05
1270,17.99
1271,16.85
1273,19.85
1274,19.95
1275,20.75
1277,18.49
1278,20.31
1279,18.03
1280,18.0
1281,19.7
1282,21.13
1283,18.65
1284,19.23
1285,16.89
1286,19.17
1287,19.57
1288,17.93
1289,18.92
1290,18.94
1291,20.63
1292,18.58
1293,17.27
1294,19.08
1295,20.01
1296,17.84
1297,17.72
1298,20.53
1299,21.32
1300,18.41
1301,18.56
1302,20.04
1303,16.42
1304,17.41
1305,16.54
1306,18.42
1307,20.09
1308,18.39
1309,22.0
1310,20.58
1311,19.56
1313,20.0
1314,20.82
