,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,410,18,2018-04-01,00,24,14:30,14:40,05:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","970,2","961,5",SEVILLA,"15,3","19,3","11,2","3,1","4,7"
1,410,29,2018-04-02,22,16,18:50,15:50,05:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","963,4","959,6",SEVILLA,"11,1","22,3","15,9","9,5","4,4"
2,410,26,2018-04-03,24,04,15:10,14:20,23:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","966,8","962,6",SEVILLA,"12,2","19,2","14,0","8,7","2,8"
3,410,26,2018-04-04,22,Varias,12:20,15:20,23:59,5612B,LA RODA DE ANDALUCÃ�A,"0,0","971,8","966,6",SEVILLA,"12,2","18,6","14,2","9,9","2,2"
4,410,19,2018-04-05,00,24,21:40,14:20,06:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","971,4","964,2",SEVILLA,"16,9","22,1","13,4","4,7","3,9"
5,410,27,2018-04-06,00,16,18:10,14:40,23:59,5612B,LA RODA DE ANDALUCÃ�A,"0,6","964,2","959,2",SEVILLA,"11,7","23,4","16,0","8,7","3,9"
6,410,26,2018-04-07,21,03,15:50,15:00,23:59,5612B,LA RODA DE ANDALUCÃ�A,"4,2","962,5","959,6",SEVILLA,"11,9","15,3","11,6","7,8","2,5"
7,410,23,2018-04-08,Varias,02,22:50,14:10,Varias,5612B,LA RODA DE ANDALUCÃ�A,"2,8","965,8","961,3",SEVILLA,"14,4","16,3","12,0","7,8","4,7"
8,410,30,2018-04-09,21,05,16:30,15:40,04:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","965,9","963,3",SEVILLA,"13,3","13,9","9,6","5,4","3,6"
9,410,24,2018-04-10,00,17,17:10,12:30,06:30,5612B,LA RODA DE ANDALUCÃ�A,"17,4","965,5","951,2",SEVILLA,"19,2","12,5","9,6","6,6","5,0"
10,410,27,2018-04-11,Varias,02,16:40,15:50,Varias,5612B,LA RODA DE ANDALUCÃ�A,"0,0","961,7","954,0",SEVILLA,"15,6","14,2","10,4","6,5","6,1"
11,410,26,2018-04-12,00,15,15:50,12:00,02:00,5612B,LA RODA DE ANDALUCÃ�A,"12,6","961,7","954,8",SEVILLA,"16,1","13,0","10,0","7,1","3,1"
12,410,16,2018-04-13,24,04,11:10,11:50,23:59,5612B,LA RODA DE ANDALUCÃ�A,"5,0","964,9","956,5",SEVILLA,"10,6","11,5","8,2","4,8","2,5"
13,410,27,2018-04-14,Varias,00,21:30,17:00,03:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","972,0","964,9",SEVILLA,"9,7","18,3","11,0","3,8","3,1"
14,410,29,2018-04-15,Varias,24,12:10,14:20,06:20,5612B,LA RODA DE ANDALUCÃ�A,"1,0","972,4","969,6",SEVILLA,"8,6","18,5","12,6","6,8","2,2"
15,410,30,2018-04-16,Varias,00,01:20,15:20,23:59,5612B,LA RODA DE ANDALUCÃ�A,"0,0","973,7","969,6",SEVILLA,"16,1","17,6","12,6","7,7","2,5"
16,410,19,2018-04-17,11,16,13:30,14:40,05:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","975,0","973,2",SEVILLA,"10,6","23,0","14,1","5,2","3,1"
