,0,1
0,0.0,9.0
1,0.0,12.6
2,0.0,12.6
3,27.0,11.8
4,0.0,12.3
5,0.0,12.6
6,0.0,14.8
7,0.0,12.4
8,0.0,12.4
9,1.6,10.6
10,2.0,13.0
11,3.2,11.4
12,0.4,12.8
13,0.0,14.4
14,0.0,14.6
15,0.8,16.3
16,0.0,15.8
17,0.5,15.8
18,3.4,15.4
19,13.0,11.9
20,0.0,13.0
21,0.0,16.0
22,0.0,16.0
23,0.0,16.5
24,0.0,15.6
25,0.0,18.4
26,0.0,17.6
27,0.0,16.0
28,0.0,17.4
29,0.0,19.4
30,0.0,17.1
31,0.0,16.8
32,0.0,18.4
33,0.0,20.4
34,2.0,18.5
35,14.4,16.8
36,1.6,15.2
37,5.8,14.3
38,6.2,13.5
39,5.6,12.6
40,3.8,11.8
41,8.8,13.0
42,1.4,14.1
43,0.0,15.4
44,0.0,15.9
45,0.0,19.0
46,0.0,20.4
47,0.0,19.8
48,0.0,20.1
49,0.0,20.4
50,0.0,21.4
51,0.0,18.8
52,0.0,18.5
53,0.0,21.4
54,0.0,19.8
55,0.0,17.9
56,0.0,18.0
57,3.0,16.6
58,0.0,17.0
59,0.0,16.9
60,0.0,19.4
