,0
1,0.015129935476232759
2,0.01687993413086647
5,0.018050042658460344
6,0.02138787717343924
7,0.01749751779919601
8,0.024017740384282737
9,0.02626862083042158
10,0.02568225594331082
12,0.025189434300382625
13,0.03363299437122142
14,0.031991635799284455
15,0.024009679718257237
16,0.023451608327740455
17,0.02052473897972033
19,0.02394627285572596
20,0.02354051781995309
21,0.020539493804011655
22,0.021942735829256876
23,0.020094134741124616
24,0.01864362298256067
26,0.01690265845833241
27,0.01002193331442133
29,0.003307986632440548
30,0.013581126740423494
31,0.01954658683481273
32,0.020658748315522266
33,0.01564993666993958
34,0.027548502900854335
35,0.017445633748244302
36,0.019713114092442814
37,0.01941100739901399
38,0.031080786554947448
41,0.013213649548226
42,0.014515849760255724
43,0.014534799244442294
44,0.007446118080108491
45,0.0111240266274896
46,0.02808603224159963
47,0.02241954261133803
48,0.015958734925170727
49,0.014051309696534498
50,0.020726034522332962
51,0.022068488251226665
52,0.020009085397728315
57,0.021378408485494264
58,0.03948394439870199
59,0.02882212796970389
61,0.028512616845062243
62,0.02396474064028672
63,0.02962210937703746
64,0.029033619550401648
66,0.03050967856508614
68,0.019925267593354966
69,0.012086259505012836
70,0.02326710902310263
71,0.02249338079785602
72,0.026864393395398006
74,0.022392793141860802
75,0.028469645845777974
76,0.04111180242240445
77,0.02600837894125054
78,0.02509556748283924
79,0.02302259408146462
81,0.02082723882404223
82,0.04030173875139246
83,0.022223930837409794
84,0.037392195799228305
86,0.05826108716359116
