,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
32,410,32,2015-05-03,10,24,17:20,16:30,06:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","965,9","962,2",SEVILLA,"7,2","30,0","22,5","15,0","2,2"
33,410,27,2015-05-04,22,13,15:10,12:40,06:00,5612B,LA RODA DE ANDALUCÃ�A,"0,2","966,5","961,2",SEVILLA,"13,9","30,0","22,2","14,4","2,8"
34,410,30,2015-05-05,24,05,14:30,15:20,06:10,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,0","965,3",SEVILLA,"10,0","24,1","19,0","13,9","2,2"
35,410,36,2015-05-06,10,18,10:30,15:10,06:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","970,7","968,0",SEVILLA,"6,7","27,2","17,4","7,5","1,4"
36,410,22,2015-05-07,24,16,11:40,13:30,03:20,5612B,LA RODA DE ANDALUCÃ�A,"0,0","971,0","967,1",SEVILLA,"12,8","29,9","21,6","13,2","4,2"
37,410,99,2015-05-08,Varias,00,13:40,16:30,05:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","975,4","971,0",SEVILLA,"9,2","24,7","17,5","10,3","3,3"
38,410,19,2015-05-09,00,18,14:00,12:40,05:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","975,1","972,5",SEVILLA,"10,3","31,3","20,6","9,8","3,6"
39,410,19,2015-05-10,00,16,11:40,13:30,23:59,5612B,LA RODA DE ANDALUCÃ�A,"0,0","973,1","970,5",SEVILLA,"16,4","30,4","23,6","16,7","4,7"
40,410,15,2015-05-11,10,18,12:20,15:00,04:10,5612B,LA RODA DE ANDALUCÃ�A,"0,0","972,4","970,5",SEVILLA,"12,8","33,8","22,6","11,4","3,6"
41,410,16,2015-05-12,22,Varias,10:20,15:20,05:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","975,0","972,0",SEVILLA,"8,9","35,6","24,3","13,0","3,3"
42,410,16,2015-05-13,10,24,10:30,14:40,04:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","975,0","972,1",SEVILLA,"15,3","36,4","27,2","17,9","5,0"
43,410,32,2015-05-14,00,17,15:10,15:10,02:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","972,1","966,8",SEVILLA,"11,1","37,7","27,2","16,6","3,9"
44,410,32,2015-05-15,23,02,17:20,16:10,05:20,5612B,LA RODA DE ANDALUCÃ�A,"0,0","972,9","968,7",SEVILLA,"8,6","29,5","22,0","14,4","2,8"
45,410,19,2015-05-16,08,15,23:20,15:00,05:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","974,1","971,9",SEVILLA,"13,1","31,4","20,8","10,2","4,2"
46,410,19,2015-05-17,00,Varias,14:10,15:20,05:10,5612B,LA RODA DE ANDALUCÃ�A,"0,0","973,5","967,7",SEVILLA,"13,9","29,2","21,9","14,6","5,0"
47,410,19,2015-05-18,00,18,01:40,12:50,03:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","967,8","962,9",SEVILLA,"13,3","30,5","23,6","16,7","4,2"
48,410,28,2015-05-19,23,17,15:50,14:30,05:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","965,0","961,5",SEVILLA,"13,3","28,0","20,0","12,0","3,9"
49,410,20,2015-05-20,Varias,00,19:20,16:40,05:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","970,8","964,9",SEVILLA,"11,1","26,6","18,5","10,4","2,8"
50,410,16,2015-05-21,10,00,09:20,15:10,05:20,5612B,LA RODA DE ANDALUCÃ�A,"0,0","973,7","970,8",SEVILLA,"11,7","26,0","19,4","12,7","3,6"
51,410,23,2015-05-22,00,17,12:40,15:20,05:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","973,3","967,9",SEVILLA,"10,3","26,7","19,4","12,1","4,2"
52,410,18,2015-05-23,00,Varias,17:20,14:50,05:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,3","965,5",SEVILLA,"14,7","26,4","19,4","12,5","5,0"
53,410,16,2015-05-24,23,Varias,09:20,13:50,22:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","967,8","965,5",SEVILLA,"10,0","20,2","16,4","12,5","3,3"
54,410,22,2015-05-25,24,Varias,15:50,14:00,,5612B,LA RODA DE ANDALUCÃ�A,"0,0","970,2","967,3",SEVILLA,"10,8","27,2","20,4","13,5","2,5"
55,410,19,2015-05-26,00,17,18:20,15:20,03:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","970,3","966,8",SEVILLA,"9,4","29,5","20,4","11,4","1,9"
56,410,20,2015-05-27,23,17,13:30,12:20,05:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,0","966,5",SEVILLA,"11,1","31,6","22,5","13,4","3,9"
57,410,18,2015-05-28,08,18,20:50,12:30,05:10,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,1","965,2",SEVILLA,"15,3","30,4","22,8","15,1","5,8"
58,410,27,2015-05-29,Varias,04,15:10,14:50,05:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,1","964,9",SEVILLA,"12,8","30,8","22,0","13,2","4,7"
59,410,31,2015-05-30,08,17,14:20,15:30,04:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","970,1","967,7",SEVILLA,"10,0","31,0","22,0","13,1","2,5"
60,410,30,2015-05-31,22,17,15:10,13:40,03:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,6","966,7",SEVILLA,"9,7","32,7","23,2","13,8","2,8"
