,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,410,16,2014-04-01,01,24,13:30,13:40,00:50,5612B,LA RODA DE ANDALUCíA,"1,2","964,9","956,9",SEVILLA,"13,6","18,9","13,6","8,3","5,0"
1,410,17,2014-04-02,00,16,00:30,13:50,Varias,5612B,LA RODA DE ANDALUCíA,"5,8","956,9","953,1",SEVILLA,"10,3","15,1","12,2","9,3","3,6"
2,410,27,2014-04-03,24,03,17:40,14:30,05:00,5612B,LA RODA DE ANDALUCíA,"1,4","968,0","955,4",SEVILLA,"16,1","14,6","11,0","7,5","3,9"
3,410,26,2014-04-04,23,00,12:50,15:10,05:50,5612B,LA RODA DE ANDALUCíA,"0,0","974,9","968,0",SEVILLA,"11,7","15,6","11,4","7,3","4,2"
4,410,30,2014-04-05,10,Varias,03:10,16:10,23:59,5612B,LA RODA DE ANDALUCíA,"0,2","975,0","972,5",SEVILLA,"6,4","19,3","14,8","10,3","2,2"
5,410,19,2014-04-06,00,18,13:20,14:40,05:10,5612B,LA RODA DE ANDALUCíA,"0,0","972,7","969,6",SEVILLA,"8,1","26,5","17,2","8,0","3,1"
6,410,15,2014-04-07,Varias,Varias,11:20,13:50,06:30,5612B,LA RODA DE ANDALUCíA,"0,0","971,4","969,4",SEVILLA,"11,4","27,5","19,2","10,8","3,6"
7,410,20,2014-04-08,09,16,14:20,14:20,03:20,5612B,LA RODA DE ANDALUCíA,"0,0","972,0","969,6",SEVILLA,"10,8","29,3","20,2","11,0","3,9"
8,410,16,2014-04-09,21,04,11:00,12:40,23:59,5612B,LA RODA DE ANDALUCíA,"0,0","971,8","969,7",SEVILLA,"16,4","25,2","19,6","14,1","5,3"
9,410,18,2014-04-10,00,16,12:20,15:00,01:40,5612B,LA RODA DE ANDALUCíA,"0,0","970,7","966,7",SEVILLA,"15,8","26,9","19,9","12,9","5,6"
10,410,21,2014-04-11,00,18,14:00,13:00,23:59,5612B,LA RODA DE ANDALUCíA,"0,0","966,8","964,1",SEVILLA,"11,1","27,7","21,5","15,3","4,4"
11,410,30,2014-04-12,24,Varias,14:50,13:30,06:00,5612B,LA RODA DE ANDALUCíA,"0,0","970,6","964,5",SEVILLA,"9,7","22,2","15,4","8,5","2,5"
12,410,20,2014-04-13,10,18,15:50,13:40,06:30,5612B,LA RODA DE ANDALUCíA,"0,0","971,8","968,0",SEVILLA,"11,7","25,3","17,4","9,4","2,8"
13,410,19,2014-04-14,11,16,15:50,14:30,05:00,5612B,LA RODA DE ANDALUCíA,"0,0","969,2","965,5",SEVILLA,"11,7","23,9","17,5","11,1","3,9"
14,410,13,2014-04-15,24,02,01:30,16:00,06:00,5612B,LA RODA DE ANDALUCíA,"0,0","969,5","966,0",SEVILLA,"8,3","26,6","18,6","10,7","2,8"
15,410,21,2014-04-16,10,16,15:20,13:50,06:00,5612B,LA RODA DE ANDALUCíA,"0,0","970,2","967,9",SEVILLA,"8,1","28,2","18,6","9,1","2,2"
16,410,19,2014-04-17,00,Varias,12:20,14:50,05:50,5612B,LA RODA DE ANDALUCíA,"0,0","969,7","966,7",SEVILLA,"9,2","28,6","20,4","12,1","3,3"
17,410,28,2014-04-18,00,17,18:00,14:30,05:10,5612B,LA RODA DE ANDALUCíA,"0,0","968,0","964,5",SEVILLA,"9,7","25,2","18,6","11,9","3,1"
18,410,25,2014-04-19,00,19,20:40,15:30,23:00,5612B,LA RODA DE ANDALUCíA,"1,0","965,3","959,5",SEVILLA,"13,9","21,1","16,4","11,8","4,2"
19,410,19,2014-04-20,00,19,17:40,14:20,08:30,5612B,LA RODA DE ANDALUCíA,"14,4","961,7","956,5",SEVILLA,"10,3","15,0","12,8","10,6","3,1"
20,410,19,2014-04-21,24,05,14:50,07:50,09:20,5612B,LA RODA DE ANDALUCíA,"14,6","962,5","956,7",SEVILLA,"10,8","14,1","12,6","11,1","3,3"
21,410,31,2014-04-22,23,00,11:40,16:10,06:00,5612B,LA RODA DE ANDALUCíA,"0,0","972,7","962,5",SEVILLA,"8,9","19,0","14,2","9,3","2,5"
22,410,30,2014-04-23,11,18,15:00,14:00,05:40,5612B,LA RODA DE ANDALUCíA,"0,0","974,2","971,6",SEVILLA,"8,3","20,9","15,4","9,9","1,7"
