,0
1,0.03273023375616973
2,0.027278289277361235
3,0.047983308921893966
4,0.05684836607186101
5,0.029030631788901754
6,0.0301308341809141
8,0.03344429699229912
9,0.054176024650185554
10,0.031097474946354987
11,0.0462770673073886
12,0.05045027727999225
13,0.029484724711149855
15,0.029586259505012834
16,0.03774770547779338
17,0.030077140856915156
18,0.02283421320288662
19,0.025526428375389484
20,0.02790027234353286
22,0.021401656414975545
23,0.028024991524192376
24,0.02868219353901293
25,0.030237225747081896
27,0.0206623238242844
28,0.04862401317382671
29,0.014399509210377618
61,0.015129935476232759
62,0.01687993413086647
65,0.018050042658460344
66,0.02138787717343924
67,0.01749751779919601
68,0.024017740384282737
69,0.02626862083042158
70,0.02568225594331082
72,0.025189434300382625
73,0.03363299437122142
74,0.031991635799284455
75,0.024009679718257237
76,0.023451608327740455
77,0.02052473897972033
79,0.02394627285572596
80,0.02354051781995309
81,0.020539493804011655
82,0.021942735829256876
83,0.020094134741124616
84,0.01864362298256067
86,0.01690265845833241
87,0.01002193331442133
89,0.003307986632440548
90,0.013581126740423494
91,0.01954658683481273
92,0.020658748315522266
93,0.01564993666993958
94,0.027548502900854335
95,0.017445633748244302
96,0.019713114092442814
97,0.01941100739901399
98,0.031080786554947448
101,0.013213649548226
102,0.014515849760255724
103,0.014534799244442294
104,0.007446118080108491
105,0.0111240266274896
106,0.02808603224159963
107,0.02241954261133803
108,0.015958734925170727
109,0.014051309696534498
110,0.020726034522332962
111,0.022068488251226665
112,0.020009085397728315
117,0.021378408485494264
118,0.03948394439870199
119,0.02882212796970389
