,0,1
0,0.0,20.7
1,0.0,17.4
2,0.0,17.6
3,0.0,19.1
4,0.0,17.2
5,0.0,15.9
6,1.2,13.8
7,4.4,12.6
8,0.4,13.6
9,0.0,15.1
10,3.6,13.6
11,0.0,13.5
12,0.0,16.4
13,0.2,18.8
14,3.4,16.3
15,0.2,15.3
16,0.0,16.2
17,0.0,15.6
18,0.0,14.4
19,0.0,15.3
20,0.0,17.0
21,0.0,18.4
22,0.0,17.6
23,0.0,17.8
24,0.0,14.6
25,12.8,15.8
26,0.0,15.3
27,0.0,16.0
28,0.0,16.2
29,0.0,17.5
30,0.0,20.2
31,0.0,22.8
32,0.0,22.5
33,0.2,22.2
34,0.0,19.0
35,0.0,17.4
36,0.0,21.6
37,0.0,17.5
38,0.0,20.6
39,0.0,23.6
40,0.0,22.6
41,0.0,24.3
42,0.0,27.2
43,0.0,27.2
44,0.0,22.0
45,0.0,20.8
46,0.0,21.9
47,0.0,23.6
48,0.0,20.0
49,0.0,18.5
50,0.0,19.4
51,0.0,19.4
52,0.0,19.4
53,0.0,16.4
54,0.0,20.4
55,0.0,20.4
56,0.0,22.5
57,0.0,22.8
58,0.0,22.0
59,0.0,22.0
60,0.0,23.2
