,0
0,32.55
1,100.46000000000001
2,203.83
3,200.77
4,349.96
5,414.9800000000001
6,375.82
7,59.55
8,348.65
9,587.7100000000002
10,656.8600000000001
11,814.8700000000001
12,662.8199999999999
13,673.3399999999999
14,874.6200000000001
15,812.1700000000002
16,881.38
17,924.16
18,956.9999999999999
19,721.31
20,848.97
21,801.16
22,835.6299999999999
23,871.0300000000001
24,1143.9200000000003
25,789.1800000000003
26,727.3399999999998
27,795.48
28,881.3499999999999
29,792.3499999999998
30,880.8499999999997
31,693.1999999999999
32,599.5699999999999
33,640.0200000000002
34,667.0199999999998
35,687.98
36,701.9499999999998
37,568.0300000000001
38,484.04
39,596.4000000000001
40,583.6199999999999
41,586.2199999999999
42,551.19
43,777.8599999999999
44,562.4199999999998
45,664.37
46,513.0
47,565.1200000000001
48,602.73
49,321.21000000000004
50,425.12
51,513.87
52,151.67999999999998
53,184.45
54,66.76
55,224.81000000000003
56,90.49000000000001
57,136.17000000000002
58,44.709999999999994
59,130.76999999999998
60,224.42999999999998
61,64.93
62,94.41
63,147.11
64,67.83
65,48.64
66,19.25
67,60.28
68,57.71
69,131.4
70,150.3
71,250.67000000000002
72,180.51999999999998
73,256.47
74,292.34000000000003
75,238.84999999999997
76,113.49000000000001
77,319.48
78,292.17999999999995
79,305.31
80,412.33000000000004
81,482.97
82,375.28000000000003
83,473.5100000000001
84,416.13000000000005
85,461.76
86,403.03999999999996
87,507.7300000000001
88,532.15
89,66.48
90,164.35999999999999
91,545.27
92,433.52
93,37.68
94,354.79999999999995
95,481.06000000000006
96,328.35
97,440.91999999999996
98,17.34
99,799.5100000000001
100,660.43
101,929.8399999999998
102,802.8000000000002
103,877.6999999999999
104,723.8699999999999
105,716.5300000000001
106,639.68
107,854.2599999999998
108,331.52
109,86.32
110,846.09
111,978.5899999999999
112,924.2300000000002
113,1107.7099999999996
114,1098.3200000000002
115,1156.16
116,828.8500000000003
117,907.8800000000001
118,676.7299999999999
119,934.3299999999998
120,935.8199999999997
121,661.0999999999999
122,621.6400000000001
123,581.6899999999999
124,459.18999999999994
125,657.0899999999999
126,548.36
127,458.22999999999996
128,517.29
129,508.99
130,334.84000000000003
131,387.9
132,373.09999999999997
133,377.54999999999995
134,263.68
135,367.23
136,274.55
137,304.87
138,279.05999999999995
139,235.89
140,183.24
141,117.06
142,45.22
143,19.55
144,136.57
145,194.34000000000003
146,228.79
147,279.22999999999996
148,427.71000000000004
149,528.11
150,452.3999999999999
151,588.0699999999999
152,570.0500000000001
153,824.0100000000001
154,482.66999999999996
155,485.0400000000001
156,576.8299999999999
157,600.33
158,590.68
159,484.81
160,596.01
161,582.4100000000001
162,642.1800000000001
163,533.5600000000001
164,929.0999999999999
165,776.3000000000001
166,740.0
167,41.7
168,454.2000000000001
169,763.6
170,349.3
171,678.8
172,705.3999999999999
173,750.3999999999999
174,626.3
175,895.6999999999998
176,919.8000000000001
177,360.40000000000003
178,690.28
179,731.7000000000002
180,102.0
181,197.39999999999998
182,572.8000000000001
183,617.1999999999999
184,670.1
185,523.6999999999999
186,512.9000000000001
187,577.6200000000001
188,647.3000000000001
189,114.9
190,253.90000000000003
191,459.9
192,561.5
193,588.7
194,595.1
195,303.7
196,67.8
197,228.82
198,47.099999999999994
199,342.32
200,547.5799999999999
201,525.52
202,118.06
203,413.04
204,314.45000000000005
205,341.11
206,267.75
207,186.94
208,207.11
209,137.01999999999998
210,93.85
211,64.41
212,63.97
213,128.54999999999998
214,261.86999999999995
215,48.489999999999995
216,35.620000000000005
217,49.31
218,436.5
219,232.87
220,563.01
221,621.46
222,591.2600000000001
223,168.85000000000002
224,762.12
225,989.0700000000002
226,913.2299999999999
227,940.98
228,1042.21
229,944.2099999999997
230,1013.1200000000001
231,86.28
232,904.35
233,762.6600000000001
234,752.3800000000001
235,34.900000000000006
236,907.86
237,937.5199999999999
238,607.17
239,596.87
240,771.6999999999999
241,172.96000000000004
242,817.4499999999997
243,803.8600000000001
244,910.4199999999998
245,793.2600000000001
246,885.11
247,887.99
248,1009.6599999999999
249,38.94
250,907.7400000000001
251,937.4899999999997
252,925.2099999999995
253,986.8999999999997
254,1087.94
255,1203.65
256,1030.6000000000001
257,797.98
258,214.51
259,1113.9100000000003
260,956.4499999999997
261,201.24000000000004
262,1118.9399999999998
263,1032.7700000000004
264,768.5999999999998
265,117.74
266,1060.9599999999996
267,718.9099999999999
268,664.0199999999998
269,851.0100000000002
270,1035.0700000000002
271,759.0199999999996
272,383.68000000000006
273,854.4700000000001
274,263.28000000000003
275,806.1499999999999
276,640.4300000000001
