,0
0,18.49
1,20.31
2,19.93
3,20.41
4,17.72
5,17.77
6,18.88
7,19.47
10,17.63
11,19.07
15,20.27
16,19.86
17,19.58
19,18.83
21,17.9
22,18.55
24,17.05
25,16.73
26,18.64
27,18.62
28,20.3
29,19.56
30,20.24
31,19.19
32,19.11
33,19.13
34,18.09
35,20.45
36,20.62
37,20.58
38,17.38
39,15.96
40,17.64
41,18.28
42,17.3601
43,19.77
45,22.32
46,21.83
47,21.91
48,19.79
49,18.12
50,20.77
51,16.23
52,20.11
53,18.79
54,21.14
55,17.42
56,17.43
57,17.6
59,18.87
60,19.68
61,18.36
62,19.55
63,18.35
64,19.02
66,17.49
67,20.08
68,19.25
69,18.85
70,20.08
71,19.42
72,19.39
73,15.95
74,20.29
75,19.66
76,18.75
78,20.15
79,17.74
80,20.0
81,16.69
82,17.74
83,17.54
84,19.6
85,19.08
86,14.3
87,18.7057
88,18.83
89,19.04
90,20.71
91,17.91
93,20.31
94,18.97
95,18.0
96,21.37
97,19.88
99,17.27
100,19.87
101,18.85
103,15.35
104,20.22
105,17.95
106,18.58
108,18.64
109,21.65
110,17.24
111,17.84
112,19.75
113,21.17
114,19.08
115,20.32
116,20.1
117,17.67
119,20.23
120,19.42
121,21.6
122,19.06
124,19.25
125,19.43
126,19.59
128,20.02
129,19.83
130,17.41
131,18.8
132,19.92
133,18.5532
134,20.72
136,21.07
137,21.1
138,20.51
139,18.88
140,19.13
141,20.14
143,20.58
144,19.41
145,18.48
146,19.67
147,18.81
148,18.59
150,21.93
151,22.21
152,19.87
153,17.77
154,20.09
155,18.79
156,19.95
157,18.4
158,17.09
159,20.44
160,20.7
162,21.69
163,20.28
164,19.7
165,17.59
166,21.47
167,18.64
168,20.95
169,22.15
170,20.47
171,22.28
172,17.9
173,19.89
174,20.32
176,19.61
177,20.09
179,19.81
180,19.92
181,19.28
183,19.51
184,18.22
186,20.58
187,19.0145
188,18.82
190,18.61
191,19.64
192,20.26
194,17.64
195,21.08
196,20.66
197,17.42
