,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
32,410,19,2017-05-03,00,Varias,15:30,13:40,05:10,5612B,LA RODA DE ANDALUCÃ�A,"0,0","967,8","963,5",SEVILLA,"15,3","25,7","18,4","11,0","5,3"
33,410,20,2017-05-04,00,16,08:40,14:30,03:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","964,0","959,7",SEVILLA,"16,4","27,6","20,6","13,7","4,4"
34,410,24,2017-05-05,Varias,01,14:50,10:40,23:59,5612B,LA RODA DE ANDALUCÃ�A,"0,0","968,8","960,1",SEVILLA,"13,1","24,1","17,0","9,9","4,2"
35,410,35,2017-05-06,Varias,02,15:10,15:00,05:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","971,4","968,5",SEVILLA,"7,8","24,0","16,0","7,9","1,7"
36,410,19,2017-05-07,09,Varias,15:10,13:00,03:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","970,6","968,4",SEVILLA,"13,6","28,0","18,6","9,1","3,9"
37,410,18,2017-05-08,00,24,08:40,14:50,04:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,5","965,1",SEVILLA,"13,6","30,0","21,4","12,9","3,9"
38,410,29,2017-05-09,00,14,15:10,13:20,05:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","965,1","960,1",SEVILLA,"15,3","28,7","20,8","13,0","3,9"
39,410,28,2017-05-10,00,19,14:20,15:20,23:00,5612B,LA RODA DE ANDALUCÃ�A,"5,6","962,0","956,4",SEVILLA,"11,7","20,8","17,2","13,6","1,7"
40,410,27,2017-05-11,Varias,02,14:30,12:00,23:59,5612B,LA RODA DE ANDALUCÃ�A,"3,6","960,4","955,9",SEVILLA,"15,6","21,6","16,6","11,5","5,0"
41,410,28,2017-05-12,Varias,02,15:20,15:30,01:30,5612B,LA RODA DE ANDALUCÃ�A,"7,2","968,5","959,8",SEVILLA,"13,1","21,9","15,8","9,8","3,6"
42,410,27,2017-05-13,24,02,13:30,15:30,05:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","974,0","968,0",SEVILLA,"8,3","22,1","16,1","10,1","2,5"
43,410,36,2017-05-14,23,Varias,17:40,15:00,05:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","976,5","973,7",SEVILLA,"7,5","26,7","17,7","8,7","2,2"
44,410,20,2017-05-15,11,18,13:50,14:10,05:20,5612B,LA RODA DE ANDALUCÃ�A,"0,0","976,9","974,7",SEVILLA,"12,2","28,6","20,9","13,2","3,6"
45,410,18,2017-05-16,00,17,17:30,14:10,04:10,5612B,LA RODA DE ANDALUCÃ�A,"0,0","975,7","972,3",SEVILLA,"11,9","28,6","21,8","14,9","5,0"
46,410,19,2017-05-17,00,24,09:40,15:30,00:20,5612B,LA RODA DE ANDALUCÃ�A,"0,0","973,1","967,4",SEVILLA,"12,5","30,1","23,4","16,7","3,6"
47,410,31,2017-05-18,23,04,13:10,13:00,23:59,5612B,LA RODA DE ANDALUCÃ�A,"0,0","970,1","966,2",SEVILLA,"12,2","26,0","18,8","11,6","3,6"
48,410,20,2017-05-19,23,04,23:10,15:50,05:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","971,4","969,1",SEVILLA,"8,9","28,3","17,6","7,0","2,2"
49,410,19,2017-05-20,09,Varias,16:10,12:50,05:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","971,8","969,3",SEVILLA,"17,2","27,1","20,0","12,9","6,7"
50,410,18,2017-05-21,00,18,07:40,13:40,00:10,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,4","966,2",SEVILLA,"21,1","25,7","21,8","17,8","6,4"
51,410,19,2017-05-22,08,Varias,01:10,15:30,06:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,0","965,4",SEVILLA,"8,9","33,0","22,5","12,0","1,7"
52,410,19,2017-05-23,23,17,10:30,14:40,05:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,1","966,1",SEVILLA,"16,9","29,5","22,0","14,6","5,8"
53,410,19,2017-05-24,01,18,13:40,14:50,04:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,1","965,6",SEVILLA,"12,8","30,8","23,6","16,3","4,7"
54,410,20,2017-05-25,00,17,11:20,15:30,04:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","967,1","962,9",SEVILLA,"10,6","33,9","25,5","17,1","3,3"
55,410,30,2017-05-26,23,16,17:30,15:40,04:20,5612B,LA RODA DE ANDALUCÃ�A,"0,0","966,8","963,8",SEVILLA,"9,7","30,4","22,4","14,5","3,6"
56,410,22,2017-05-27,Varias,17,12:10,13:50,05:20,5612B,LA RODA DE ANDALUCÃ�A,"0,0","968,3","965,0",SEVILLA,"10,8","30,7","21,8","13,0","3,3"
57,410,30,2017-05-28,Varias,17,14:50,12:50,04:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","970,1","967,4",SEVILLA,"10,8","29,0","22,0","14,9","3,1"
58,410,29,2017-05-29,00,17,20:40,14:30,02:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","970,0","967,0",SEVILLA,"10,6","26,5","20,8","15,1","3,6"
59,410,22,2017-05-30,24,Varias,21:20,17:00,05:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","968,5","965,3",SEVILLA,"10,0","30,7","21,6","12,6","2,5"
60,410,20,2017-05-31,Varias,17,19:00,12:00,05:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,6","967,1",SEVILLA,"13,1","30,4","23,2","16,1","4,7"
